
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:        0
1.09789 0.57114 0.00000 
1.10178 0.58317 0.00000 
1.10574 0.59519 0.00000 
1.10979 0.60721 0.00000 
1.11392 0.61924 0.00000 
1.11813 0.63126 0.00000 
1.12121 0.63989 0.00000 
1.12230 0.64329 0.00000 
1.12622 0.65531 0.00000 
1.13022 0.66733 0.00000 
1.13429 0.67936 0.00000 
1.13843 0.69138 0.00000 
1.14265 0.70341 0.00000 
1.14693 0.71543 0.00000 
1.15130 0.72745 0.00000 
1.15573 0.73948 0.00000 
1.16023 0.75150 0.00000 
1.16481 0.76353 0.00000 
1.16946 0.77555 0.00000 
1.17419 0.78758 0.00000 
1.17898 0.79960 0.00000 
1.18182 0.80660 0.00000 
1.18365 0.81162 0.00000 
1.18811 0.82365 0.00000 
1.19264 0.83567 0.00000 
1.19723 0.84770 0.00000 
1.20189 0.85972 0.00000 
1.20661 0.87174 0.00000 
1.21140 0.88377 0.00000 
1.21625 0.89579 0.00000 
1.22117 0.90782 0.00000 
1.22616 0.91984 0.00000 
1.23121 0.93186 0.00000 
1.23632 0.94389 0.00000 
1.24150 0.95591 0.00000 
1.24242 0.95802 0.00000 
1.24635 0.96794 0.00000 
1.25117 0.97996 0.00000 
1.25605 0.99198 0.00000 
1.26098 1.00401 0.00000 
1.26598 1.01603 0.00000 
1.27104 1.02806 0.00000 
1.27615 1.04008 0.00000 
1.28133 1.05210 0.00000 
1.28656 1.06413 0.00000 
1.29186 1.07615 0.00000 
1.29721 1.08818 0.00000 
1.30263 1.10020 0.00000 
1.30303 1.10109 0.00000 
1.30765 1.11222 0.00000 
1.31269 1.12425 0.00000 
1.31779 1.13627 0.00000 
1.32294 1.14830 0.00000 
1.32814 1.16032 0.00000 
1.33340 1.17234 0.00000 
1.33871 1.18437 0.00000 
1.34408 1.19639 0.00000 
1.34950 1.20842 0.00000 
1.35497 1.22044 0.00000 
1.36050 1.23246 0.00000 
1.36364 1.23921 0.00000 
1.36588 1.24449 0.00000 
1.37104 1.25651 0.00000 
1.37624 1.26854 0.00000 
1.38150 1.28056 0.00000 
1.38681 1.29259 0.00000 
1.39216 1.30461 0.00000 
1.39757 1.31663 0.00000 
1.40303 1.32866 0.00000 
1.40853 1.34068 0.00000 
1.41409 1.35271 0.00000 
1.41969 1.36473 0.00000 
1.42424 1.37441 0.00000 
1.42525 1.37675 0.00000 
1.43049 1.38878 0.00000 
1.43578 1.40080 0.00000 

# Contour 3, label: 
1.19264 -0.83567 0.00000 
1.18811 -0.82365 0.00000 
1.18365 -0.81162 0.00000 
1.18182 -0.80660 0.00000 
1.17898 -0.79960 0.00000 
1.17419 -0.78758 0.00000 
1.16946 -0.77555 0.00000 
1.16481 -0.76353 0.00000 
1.16023 -0.75150 0.00000 
1.15573 -0.73948 0.00000 
1.15130 -0.72745 0.00000 
1.14693 -0.71543 0.00000 
1.14265 -0.70341 0.00000 
1.13843 -0.69138 0.00000 
1.13429 -0.67936 0.00000 
1.13022 -0.66733 0.00000 
1.12622 -0.65531 0.00000 
1.12230 -0.64329 0.00000 
1.12121 -0.63989 0.00000 
1.11813 -0.63126 0.00000 
1.11392 -0.61924 0.00000 
1.10979 -0.60721 0.00000 
1.10574 -0.59519 0.00000 
1.10178 -0.58317 0.00000 
1.09789 -0.57114 0.00000 
1.09408 -0.55912 0.00000 
1.09036 -0.54709 0.00000 
1.08672 -0.53507 0.00000 
1.08315 -0.52305 0.00000 
1.07967 -0.51102 0.00000 
1.07627 -0.49900 0.00000 
1.07295 -0.48697 0.00000 
1.06971 -0.47495 0.00000 
1.06655 -0.46293 0.00000 
1.06348 -0.45090 0.00000 
1.06061 -0.43938 0.00000 
1.06047 -0.43888 0.00000 
1.05720 -0.42685 0.00000 
1.05402 -0.41483 0.00000 
1.05093 -0.40281 0.00000 
1.04794 -0.39078 0.00000 
1.04503 -0.37876 0.00000 
1.04222 -0.36673 0.00000 
1.03950 -0.35471 0.00000 
1.03687 -0.34269 0.00000 
1.03432 -0.33066 0.00000 
1.03187 -0.31864 0.00000 
1.02951 -0.30661 0.00000 
1.02724 -0.29459 0.00000 
1.02506 -0.28257 0.00000 
1.02298 -0.27054 0.00000 
1.02098 -0.25852 0.00000 
1.01907 -0.24649 0.00000 
1.01726 -0.23447 0.00000 
1.01553 -0.22244 0.00000 
1.01390 -0.21042 0.00000 
1.01236 -0.19840 0.00000 
1.01090 -0.18637 0.00000 
1.00954 -0.17435 0.00000 
1.00827 -0.16232 0.00000 
1.00709 -0.15030 0.00000 
1.00600 -0.13828 0.00000 
1.00500 -0.12625 0.00000 
1.00410 -0.11423 0.00000 
1.00328 -0.10220 0.00000 
1.00255 -0.09018 0.00000 
1.00192 -0.07816 0.00000 
1.00137 -0.06613 0.00000 
1.00092 -0.05411 0.00000 
1.00056 -0.04208 0.00000 
1.00028 -0.03006 0.00000 
1.00010 -0.01804 0.00000 
1.00001 -0.00601 0.00000 
1.00001 0.00601 0.00000 
1.00010 0.01804 0.00000 
1.00028 0.03006 0.00000 
1.00056 0.04208 0.00000 
1.00092 0.05411 0.00000 
1.00137 0.06613 0.00000 
1.00192 0.07816 0.00000 
1.00255 0.09018 0.00000 
1.00328 0.10220 0.00000 
1.00410 0.11423 0.00000 
1.00500 0.12625 0.00000 
1.00600 0.13828 0.00000 
1.00709 0.15030 0.00000 
1.00827 0.16232 0.00000 
1.00954 0.17435 0.00000 
