
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:        0
1.54862 2.41082 0.00000 
1.55477 2.42285 0.00000 
1.56095 2.43487 0.00000 
1.56717 2.44689 0.00000 
1.57341 2.45892 0.00000 
1.57968 2.47094 0.00000 
1.58598 2.48297 0.00000 
1.59232 2.49499 0.00000 
1.59868 2.50701 0.00000 
1.60508 2.51904 0.00000 
1.60606 2.52088 0.00000 
1.61119 2.53106 0.00000 
1.61727 2.54309 0.00000 
1.62338 2.55511 0.00000 
1.62951 2.56713 0.00000 
1.63568 2.57916 0.00000 
1.64188 2.59118 0.00000 
1.64810 2.60321 0.00000 
1.65436 2.61523 0.00000 
1.66064 2.62725 0.00000 
1.66667 2.63874 0.00000 
1.66693 2.63928 0.00000 
1.67291 2.65130 0.00000 
1.67892 2.66333 0.00000 
1.68495 2.67535 0.00000 
1.69101 2.68737 0.00000 
1.69710 2.69940 0.00000 
1.70321 2.71142 0.00000 
1.70935 2.72345 0.00000 
1.71552 2.73547 0.00000 
1.72172 2.74749 0.00000 
1.72727 2.75822 0.00000 
1.72791 2.75952 0.00000 
1.73381 2.77154 0.00000 
1.73974 2.78357 0.00000 
1.74569 2.79559 0.00000 
1.75167 2.80762 0.00000 
1.75767 2.81964 0.00000 
1.76370 2.83166 0.00000 
1.76976 2.84369 0.00000 
1.77584 2.85571 0.00000 
1.78195 2.86774 0.00000 
1.78788 2.87936 0.00000 
1.78807 2.87976 0.00000 
1.79389 2.89178 0.00000 
1.79974 2.90381 0.00000 
1.80561 2.91583 0.00000 
1.81151 2.92786 0.00000 
1.81743 2.93988 0.00000 
1.82337 2.95190 0.00000 
1.82934 2.96393 0.00000 
1.83533 2.97595 0.00000 
1.84135 2.98798 0.00000 
1.84739 3.00000 0.00000 

# Contour 1, label: 
0.96470 1.35271 0.00000 
0.97148 1.36473 0.00000 
0.97832 1.37675 0.00000 
0.98521 1.38878 0.00000 
0.99217 1.40080 0.00000 
0.99919 1.41283 0.00000 
1.00000 1.41421 0.00000 
1.00582 1.42485 0.00000 
1.01246 1.43687 0.00000 
1.01915 1.44890 0.00000 
1.02590 1.46092 0.00000 
1.03270 1.47295 0.00000 
1.03956 1.48497 0.00000 
1.04647 1.49699 0.00000 
1.05344 1.50902 0.00000 
1.06047 1.52104 0.00000 
1.06061 1.52127 0.00000 
1.06707 1.53307 0.00000 
1.07371 1.54509 0.00000 
1.08041 1.55711 0.00000 
1.08716 1.56914 0.00000 
1.09396 1.58116 0.00000 
1.10081 1.59319 0.00000 
1.10771 1.60521 0.00000 
1.11467 1.61723 0.00000 
1.12121 1.62847 0.00000 
1.12164 1.62926 0.00000 
1.12822 1.64128 0.00000 
1.13484 1.65331 0.00000 
1.14152 1.66533 0.00000 
1.14824 1.67735 0.00000 
1.15501 1.68938 0.00000 
1.16183 1.70140 0.00000 
1.16870 1.71343 0.00000 
1.17561 1.72545 0.00000 
1.18182 1.73616 0.00000 
1.18253 1.73747 0.00000 
1.18907 1.74950 0.00000 
1.19566 1.76152 0.00000 
1.20229 1.77355 0.00000 
1.20897 1.78557 0.00000 
1.21569 1.79760 0.00000 
1.22246 1.80962 0.00000 
1.22927 1.82164 0.00000 
1.23613 1.83367 0.00000 
1.24242 1.84463 0.00000 
1.24299 1.84569 0.00000 
1.24948 1.85772 0.00000 
1.25602 1.86974 0.00000 
1.26259 1.88176 0.00000 
1.26921 1.89379 0.00000 
1.27587 1.90581 0.00000 
1.28257 1.91784 0.00000 
1.28931 1.92986 0.00000 
1.29610 1.94188 0.00000 
1.30293 1.95391 0.00000 
1.30303 1.95409 0.00000 
1.30936 1.96593 0.00000 
1.31583 1.97796 0.00000 
1.32233 1.98998 0.00000 
1.32888 2.00200 0.00000 
1.33546 2.01403 0.00000 
1.34208 2.02605 0.00000 
1.34875 2.03808 0.00000 
1.35545 2.05010 0.00000 
1.36219 2.06212 0.00000 
1.36364 2.06469 0.00000 
1.36863 2.07415 0.00000 
1.37502 2.08617 0.00000 
1.38145 2.09820 0.00000 
1.38791 2.11022 0.00000 
1.39441 2.12224 0.00000 
1.40095 2.13427 0.00000 
1.40752 2.14629 0.00000 
1.41413 2.15832 0.00000 
1.42078 2.17034 0.00000 
1.42424 2.17657 0.00000 
1.42726 2.18236 0.00000 
1.43357 2.19439 0.00000 
1.43990 2.20641 0.00000 
1.44628 2.21844 0.00000 
1.45269 2.23046 0.00000 
1.45913 2.24248 0.00000 
1.46561 2.25451 0.00000 
1.47212 2.26653 0.00000 
1.47866 2.27856 0.00000 
1.48485 2.28986 0.00000 
1.48522 2.29058 0.00000 
1.49143 2.30261 0.00000 
1.49768 2.31463 0.00000 
1.50396 2.32665 0.00000 
1.51027 2.33868 0.00000 
1.51662 2.35070 0.00000 
1.52299 2.36273 0.00000 
1.52940 2.37475 0.00000 
1.53584 2.38677 0.00000 
1.54232 2.39880 0.00000 
1.54545 2.40460 0.00000 
1.54862 2.41082 0.00000 

# Contour 2, label: 
0.47813 0.25852 0.00000 
0.48048 0.27054 0.00000 
0.48294 0.28257 0.00000 
0.48550 0.29459 0.00000 
0.48817 0.30661 0.00000 
0.49095 0.31864 0.00000 
0.49384 0.33066 0.00000 
0.49683 0.34269 0.00000 
0.49993 0.35471 0.00000 
0.50313 0.36673 0.00000 
0.50645 0.37876 0.00000 
0.50987 0.39078 0.00000 
0.51339 0.40281 0.00000 
0.51515 0.40863 0.00000 
0.51690 0.41483 0.00000 
0.52040 0.42685 0.00000 
0.52400 0.43888 0.00000 
0.52770 0.45090 0.00000 
0.53149 0.46293 0.00000 
0.53539 0.47495 0.00000 
0.53939 0.48697 0.00000 
0.54349 0.49900 0.00000 
0.54768 0.51102 0.00000 
0.55198 0.52305 0.00000 
0.55638 0.53507 0.00000 
0.56087 0.54709 0.00000 
0.56547 0.55912 0.00000 
0.57017 0.57114 0.00000 
0.57496 0.58317 0.00000 
0.57576 0.58511 0.00000 
0.57958 0.59519 0.00000 
0.58424 0.60721 0.00000 
0.58900 0.61924 0.00000 
0.59384 0.63126 0.00000 
0.59878 0.64329 0.00000 
0.60381 0.65531 0.00000 
0.60894 0.66733 0.00000 
0.61416 0.67936 0.00000 
0.61947 0.69138 0.00000 
0.62488 0.70341 0.00000 
0.63037 0.71543 0.00000 
0.63596 0.72745 0.00000 
0.63636 0.72830 0.00000 
0.64128 0.73948 0.00000 
0.64666 0.75150 0.00000 
0.65212 0.76353 0.00000 
0.65767 0.77555 0.00000 
0.66331 0.78758 0.00000 
0.66903 0.79960 0.00000 
0.67484 0.81162 0.00000 
0.68074 0.82365 0.00000 
0.68673 0.83567 0.00000 
0.69280 0.84770 0.00000 
0.69697 0.85585 0.00000 
0.69881 0.85972 0.00000 
0.70462 0.87174 0.00000 
0.71050 0.88377 0.00000 
0.71646 0.89579 0.00000 
0.72251 0.90782 0.00000 
0.72863 0.91984 0.00000 
0.73484 0.93186 0.00000 
0.74113 0.94389 0.00000 
0.74749 0.95591 0.00000 
0.75394 0.96794 0.00000 
0.75758 0.97463 0.00000 
0.76026 0.97996 0.00000 
0.76640 0.99198 0.00000 
0.77261 1.00401 0.00000 
0.77890 1.01603 0.00000 
0.78526 1.02806 0.00000 
0.79170 1.04008 0.00000 
0.79821 1.05210 0.00000 
0.80480 1.06413 0.00000 
0.81146 1.07615 0.00000 
0.81818 1.08815 0.00000 
0.82452 1.10020 0.00000 
0.83091 1.11222 0.00000 
0.83738 1.12425 0.00000 
0.84391 1.13627 0.00000 
0.85051 1.14830 0.00000 
0.85718 1.16032 0.00000 
0.86392 1.17234 0.00000 
0.87073 1.18437 0.00000 
0.87762 1.19639 0.00000 
0.87879 1.19842 0.00000 
0.88415 1.20842 0.00000 
0.89067 1.22044 0.00000 
0.89725 1.23246 0.00000 
0.90390 1.24449 0.00000 
0.91061 1.25651 0.00000 
0.91739 1.26854 0.00000 
0.92423 1.28056 0.00000 
0.93114 1.29259 0.00000 
0.93811 1.30461 0.00000 
0.93939 1.30681 0.00000 
0.94474 1.31663 0.00000 
0.95133 1.32866 0.00000 
0.95799 1.34068 0.00000 
0.96470 1.35271 0.00000 

# Contour 3, label: 
0.69697 -0.85585 0.00000 
0.69280 -0.84770 0.00000 
0.68673 -0.83567 0.00000 
0.68074 -0.82365 0.00000 
0.67484 -0.81162 0.00000 
0.66903 -0.79960 0.00000 
0.66331 -0.78758 0.00000 
0.65767 -0.77555 0.00000 
0.65212 -0.76353 0.00000 
0.64666 -0.75150 0.00000 
0.64128 -0.73948 0.00000 
0.63636 -0.72830 0.00000 
0.63596 -0.72745 0.00000 
0.63037 -0.71543 0.00000 
0.62488 -0.70341 0.00000 
0.61947 -0.69138 0.00000 
0.61416 -0.67936 0.00000 
0.60894 -0.66733 0.00000 
0.60381 -0.65531 0.00000 
0.59878 -0.64329 0.00000 
0.59384 -0.63126 0.00000 
0.58900 -0.61924 0.00000 
0.58424 -0.60721 0.00000 
0.57958 -0.59519 0.00000 
0.57576 -0.58511 0.00000 
0.57496 -0.58317 0.00000 
0.57017 -0.57114 0.00000 
0.56547 -0.55912 0.00000 
0.56087 -0.54709 0.00000 
0.55638 -0.53507 0.00000 
0.55198 -0.52305 0.00000 
0.54768 -0.51102 0.00000 
0.54349 -0.49900 0.00000 
0.53939 -0.48697 0.00000 
0.53539 -0.47495 0.00000 
0.53149 -0.46293 0.00000 
0.52770 -0.45090 0.00000 
0.52400 -0.43888 0.00000 
0.52040 -0.42685 0.00000 
0.51690 -0.41483 0.00000 
0.51515 -0.40863 0.00000 
0.51339 -0.40281 0.00000 
0.50987 -0.39078 0.00000 
0.50645 -0.37876 0.00000 
0.50313 -0.36673 0.00000 
0.49993 -0.35471 0.00000 
0.49683 -0.34269 0.00000 
0.49384 -0.33066 0.00000 
0.49095 -0.31864 0.00000 
0.48817 -0.30661 0.00000 
0.48550 -0.29459 0.00000 
0.48294 -0.28257 0.00000 
0.48048 -0.27054 0.00000 
0.47813 -0.25852 0.00000 
0.47589 -0.24649 0.00000 
0.47375 -0.23447 0.00000 
0.47172 -0.22244 0.00000 
0.46980 -0.21042 0.00000 
0.46798 -0.19840 0.00000 
0.46627 -0.18637 0.00000 
0.46467 -0.17435 0.00000 
0.46317 -0.16232 0.00000 
0.46178 -0.15030 0.00000 
0.46050 -0.13828 0.00000 
0.45933 -0.12625 0.00000 
0.45826 -0.11423 0.00000 
0.45729 -0.10220 0.00000 
0.45644 -0.09018 0.00000 
0.45569 -0.07816 0.00000 
0.45505 -0.06613 0.00000 
0.45455 -0.05475 0.00000 
0.45451 -0.05411 0.00000 
0.45406 -0.04208 0.00000 
0.45372 -0.03006 0.00000 
0.45349 -0.01804 0.00000 
0.45338 -0.00601 0.00000 
0.45338 0.00601 0.00000 
0.45349 0.01804 0.00000 
0.45372 0.03006 0.00000 
0.45406 0.04208 0.00000 
0.45451 0.05411 0.00000 
0.45455 0.05475 0.00000 
0.45505 0.06613 0.00000 
0.45569 0.07816 0.00000 
0.45644 0.09018 0.00000 
0.45729 0.10220 0.00000 
0.45826 0.11423 0.00000 
0.45933 0.12625 0.00000 
0.46050 0.13828 0.00000 
0.46178 0.15030 0.00000 
0.46317 0.16232 0.00000 
0.46467 0.17435 0.00000 
0.46627 0.18637 0.00000 
0.46798 0.19840 0.00000 
0.46980 0.21042 0.00000 
0.47172 0.22244 0.00000 
0.47375 0.23447 0.00000 
0.47589 0.24649 0.00000 
0.47813 0.25852 0.00000 

# Contour 4, label: 
1.28931 -1.92986 0.00000 
1.28257 -1.91784 0.00000 
1.27587 -1.90581 0.00000 
1.26921 -1.89379 0.00000 
1.26259 -1.88176 0.00000 
1.25602 -1.86974 0.00000 
1.24948 -1.85772 0.00000 
1.24299 -1.84569 0.00000 
1.24242 -1.84463 0.00000 
1.23613 -1.83367 0.00000 
1.22927 -1.82164 0.00000 
1.22246 -1.80962 0.00000 
1.21569 -1.79760 0.00000 
1.20897 -1.78557 0.00000 
1.20229 -1.77355 0.00000 
1.19566 -1.76152 0.00000 
1.18907 -1.74950 0.00000 
1.18253 -1.73747 0.00000 
1.18182 -1.73616 0.00000 
1.17561 -1.72545 0.00000 
1.16870 -1.71343 0.00000 
1.16183 -1.70140 0.00000 
1.15501 -1.68938 0.00000 
1.14824 -1.67735 0.00000 
1.14152 -1.66533 0.00000 
1.13484 -1.65331 0.00000 
1.12822 -1.64128 0.00000 
1.12164 -1.62926 0.00000 
1.12121 -1.62847 0.00000 
1.11467 -1.61723 0.00000 
1.10771 -1.60521 0.00000 
1.10081 -1.59319 0.00000 
1.09396 -1.58116 0.00000 
1.08716 -1.56914 0.00000 
1.08041 -1.55711 0.00000 
1.07371 -1.54509 0.00000 
1.06707 -1.53307 0.00000 
1.06061 -1.52127 0.00000 
1.06047 -1.52104 0.00000 
1.05344 -1.50902 0.00000 
1.04647 -1.49699 0.00000 
1.03956 -1.48497 0.00000 
1.03270 -1.47295 0.00000 
1.02590 -1.46092 0.00000 
1.01915 -1.44890 0.00000 
1.01246 -1.43687 0.00000 
1.00582 -1.42485 0.00000 
1.00000 -1.41421 0.00000 
0.99919 -1.41283 0.00000 
0.99217 -1.40080 0.00000 
0.98521 -1.38878 0.00000 
0.97832 -1.37675 0.00000 
0.97148 -1.36473 0.00000 
0.96470 -1.35271 0.00000 
0.95799 -1.34068 0.00000 
0.95133 -1.32866 0.00000 
0.94474 -1.31663 0.00000 
0.93939 -1.30681 0.00000 
0.93811 -1.30461 0.00000 
0.93114 -1.29259 0.00000 
0.92423 -1.28056 0.00000 
0.91739 -1.26854 0.00000 
0.91061 -1.25651 0.00000 
0.90390 -1.24449 0.00000 
0.89725 -1.23246 0.00000 
0.89067 -1.22044 0.00000 
0.88415 -1.20842 0.00000 
0.87879 -1.19842 0.00000 
0.87762 -1.19639 0.00000 
0.87073 -1.18437 0.00000 
0.86392 -1.17234 0.00000 
0.85718 -1.16032 0.00000 
0.85051 -1.14830 0.00000 
0.84391 -1.13627 0.00000 
0.83738 -1.12425 0.00000 
0.83091 -1.11222 0.00000 
0.82452 -1.10020 0.00000 
0.81820 -1.08818 0.00000 
0.81146 -1.07615 0.00000 
0.80480 -1.06413 0.00000 
