
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:        0
0.19424 1.67735 0.00000 
0.21212 1.67254 0.00000 
0.24141 1.66533 0.00000 
0.27273 1.65757 0.00000 
0.29226 1.65331 0.00000 
0.33333 1.64429 0.00000 
0.34976 1.64128 0.00000 
0.39394 1.63315 0.00000 
0.42163 1.62926 0.00000 
0.45455 1.62460 0.00000 
0.51515 1.61912 0.00000 
0.57254 1.61723 0.00000 
0.57576 1.61713 0.00000 
0.57909 1.61723 0.00000 
0.63636 1.61905 0.00000 
0.69697 1.62529 0.00000 
0.71890 1.62926 0.00000 
0.75758 1.63621 0.00000 
0.77680 1.64128 0.00000 
0.81818 1.65212 0.00000 
0.82154 1.65331 0.00000 
0.85592 1.66533 0.00000 
0.87879 1.67327 0.00000 
0.88801 1.67735 0.00000 
0.91535 1.68938 0.00000 
0.93939 1.69987 0.00000 
0.94224 1.70140 0.00000 
0.96478 1.71343 0.00000 
0.98747 1.72545 0.00000 
1.00000 1.73204 0.00000 
1.00861 1.73747 0.00000 
1.02780 1.74950 0.00000 
1.04711 1.76152 0.00000 
1.06061 1.76987 0.00000 
1.06567 1.77355 0.00000 
1.08231 1.78557 0.00000 
1.09907 1.79760 0.00000 
1.11594 1.80962 0.00000 
1.12121 1.81335 0.00000 
1.13132 1.82164 0.00000 
1.14607 1.83367 0.00000 
1.16092 1.84569 0.00000 
1.17587 1.85772 0.00000 

# Contour 3, label: 
-1.63481 0.51102 0.00000 
-1.63304 0.52305 0.00000 
-1.63123 0.53507 0.00000 
-1.62938 0.54709 0.00000 
-1.62749 0.55912 0.00000 
-1.62556 0.57114 0.00000 
-1.62358 0.58317 0.00000 
-1.62157 0.59519 0.00000 
-1.61951 0.60721 0.00000 
-1.61742 0.61924 0.00000 
-1.61528 0.63126 0.00000 
-1.61310 0.64329 0.00000 
-1.61088 0.65531 0.00000 
-1.60862 0.66733 0.00000 
-1.60632 0.67936 0.00000 
-1.60606 0.68068 0.00000 
-1.60379 0.69138 0.00000 
-1.60119 0.70341 0.00000 
-1.59854 0.71543 0.00000 
-1.59585 0.72745 0.00000 
-1.59312 0.73948 0.00000 
-1.59034 0.75150 0.00000 
-1.58751 0.76353 0.00000 
-1.58464 0.77555 0.00000 
-1.58173 0.78758 0.00000 
-1.57877 0.79960 0.00000 
-1.57577 0.81162 0.00000 
-1.57272 0.82365 0.00000 
-1.56963 0.83567 0.00000 
-1.56649 0.84770 0.00000 
-1.56330 0.85972 0.00000 
-1.56008 0.87174 0.00000 
