
# Surface 0 of 1 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:        0
1.30303 1.26741 0.00000 
1.30388 1.26854 0.00000 
1.31308 1.28056 0.00000 
1.32236 1.29259 0.00000 
1.33172 1.30461 0.00000 
1.34118 1.31663 0.00000 
1.35071 1.32866 0.00000 
1.36034 1.34068 0.00000 
1.36364 1.34476 0.00000 
1.36922 1.35271 0.00000 
1.37775 1.36473 0.00000 
1.38636 1.37675 0.00000 
1.39504 1.38878 0.00000 
1.40380 1.40080 0.00000 
1.41263 1.41283 0.00000 
1.42154 1.42485 0.00000 
1.42424 1.42847 0.00000 
1.42978 1.43687 0.00000 
1.43776 1.44890 0.00000 
1.44580 1.46092 0.00000 
1.45392 1.47295 0.00000 
1.46210 1.48497 0.00000 
1.47034 1.49699 0.00000 
1.47866 1.50902 0.00000 
1.48485 1.51790 0.00000 
1.48679 1.52104 0.00000 
1.49431 1.53307 0.00000 
1.50188 1.54509 0.00000 
1.50951 1.55711 0.00000 
1.51720 1.56914 0.00000 
1.52495 1.58116 0.00000 
1.53276 1.59319 0.00000 
1.54063 1.60521 0.00000 
1.54545 1.61253 0.00000 
1.54823 1.61723 0.00000 
1.55540 1.62926 0.00000 
1.56261 1.64128 0.00000 
1.56988 1.65331 0.00000 
1.57720 1.66533 0.00000 
1.58458 1.67735 0.00000 
1.59201 1.68938 0.00000 
1.59949 1.70140 0.00000 
1.60606 1.71190 0.00000 
1.60693 1.71343 0.00000 
1.61378 1.72545 0.00000 
1.62068 1.73747 0.00000 

# Contour 3, label: 
-1.27907 1.56914 0.00000 
-1.26583 1.58116 0.00000 
-1.25248 1.59319 0.00000 
-1.24242 1.60218 0.00000 
-1.23841 1.60521 0.00000 
-1.22232 1.61723 0.00000 
-1.20611 1.62926 0.00000 
-1.18979 1.64128 0.00000 
-1.18182 1.64711 0.00000 
-1.17150 1.65331 0.00000 
-1.15133 1.66533 0.00000 
-1.13102 1.67735 0.00000 
-1.12121 1.68312 0.00000 
-1.10780 1.68938 0.00000 
-1.08185 1.70140 0.00000 
-1.06061 1.71118 0.00000 
-1.05413 1.71343 0.00000 
-1.01925 1.72545 0.00000 
-1.00000 1.73204 0.00000 
-0.97710 1.73747 0.00000 
-0.93939 1.74636 0.00000 
-0.91662 1.74950 0.00000 
-0.87879 1.75467 0.00000 
-0.81818 1.75745 0.00000 
-0.75758 1.75509 0.00000 
-0.71000 1.74950 0.00000 
-0.69697 1.74796 0.00000 
-0.64206 1.73747 0.00000 
-0.63636 1.73638 0.00000 
-0.59418 1.72545 0.00000 
-0.57576 1.72064 0.00000 
-0.55333 1.71343 0.00000 
-0.51622 1.70140 0.00000 
-0.51515 1.70105 0.00000 
-0.48455 1.68938 0.00000 
-0.45455 1.67785 0.00000 
-0.45341 1.67735 0.00000 
-0.42586 1.66533 0.00000 
-0.39852 1.65331 0.00000 
-0.39394 1.65128 0.00000 
-0.37339 1.64128 0.00000 
-0.34884 1.62926 0.00000 
-0.33333 1.62160 0.00000 
-0.32511 1.61723 0.00000 
-0.30262 1.60521 0.00000 
-0.28031 1.59319 0.00000 
-0.27273 1.58907 0.00000 
-0.25896 1.58116 0.00000 
-0.23818 1.56914 0.00000 
-0.21756 1.55711 0.00000 
